0, 228, 322, 11, 330, 81, 106, 206, 32, 150, 63, 403, 249, 320, 218
228, 0, 416, 437, 112, 469, 1, 409, 38, 296, 298, 194, 481, 143, 418
322, 416, 0, 421, 101, 428, 21, 204, 493, 260, 57, 51, 230, 343, 83
11, 437, 421, 0, 3, 471, 113, 405, 173, 88, 102, 161, 239, 454, 376
330, 112, 101, 3, 0, 256, 255, 335, 52, 181, 393, 6, 248, 146, 205
81, 469, 428, 471, 256, 0, 47, 96, 70, 39, 283, 149, 294, 268, 124
106, 1, 21, 113, 255, 47, 0, 267, 291, 4, 282, 379, 239, 477, 241
206, 409, 204, 405, 335, 96, 267, 0, 182, 59, 400, 402, 21, 23, 490
32, 38, 493, 173, 52, 70, 291, 182, 0, 244, 36, 138, 446, 200, 406
150, 296, 260, 88, 181, 39, 4, 59, 244, 0, 386, 388, 215, 382, 431
63, 298, 57, 102, 393, 283, 282, 400, 36, 386, 0, 349, 409, 162, 80
403, 194, 51, 161, 6, 149, 379, 402, 138, 388, 349, 0, 44, 488, 33
249, 481, 230, 239, 248, 294, 239, 21, 446, 215, 409, 44, 0, 299, 100
320, 143, 343, 454, 146, 268, 477, 23, 200, 382, 162, 488, 299, 0, 178
218, 418, 83, 376, 205, 124, 241, 490, 406, 431, 80, 33, 100, 178, 0
